Chip Run Info;\\pnas1.stockage.inra.fr\vdl-isp\Ibir\Fluidigm\2023_03_28_CGitton\ChipRun.bml;1362900136;96.96 (136x);GE 96x96 Fast PCR+Melt v2;ROX;EvaGreen;28/03/2023 18:35;00:30:37;BIOMARKHD434;SamplePlateName: Undefined;SamplePlateBarCode: Undefined;ReagentPlateName: Undefined;ReagentPlateBarCode: Undefined;;;;;;;;;;;
Application Version;4.7.1;;;;;;;;;;;;;;;;;;;;;;;
Application Build;20200930.1707;;;;;;;;;;;;;;;;;;;;;;;
Export Type;Table Results;;;;;;;;;;;;;;;;;;;;;;;
Quality Threshold;0,65;;;;;;;;;;;;;;;;;;;;;;;
Baseline Correction Method;Linear (Derivative);;;;;;;;;;;;;;;;;;;;;;;
Ct Threshold Method;Auto (Global);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen
Chamber;Sample;Sample;Sample;Sample;EvaGreen;EvaGreen;EvaGreen;Ct;Ct;Ct;Ct;Delta Ct Sample;Delta Ct Sample;Delta Ct Sample;Delta Ct Reagent;Delta Ct Reagent;Delta Ct Reagent;Delta Delta Ct;Delta Delta Ct;Delta Delta Ct;Delta Delta Ct;Tm;Tm;Tm
ID;Name;Type;rConc;Reference;Name;Type;Reference;Value;Quality;Call;Threshold;Value;Quality;Call;Value;Quality;Call;Value;Fold Change;Quality;Call;In Range;Out Range;Peak Ratio
S96-A80;ADNc-ANSES-18;Unknown;1;ADNc-ANSES-3;ABCG2;Test;ACTB,GAPDH,PPIA;17,92743643;1;Pass;0,015433382;0,612344942;0,886343932;Pass;12,27329091;0,92858295;Pass;0,626334346;0,647820332;0,855191018;Pass;82,05876236;999;1
S06-A80;ADNc-338;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;9,444394211;1;Pass;0,015433382;999;0;Flag;2,246760185;1;Pass;999;-1;0;Flag;82,15967563;999;1
S95-A80;ADNc-ANSES-10;Unknown;1;ADNc-ANSES-1;ABCG2;Test;ACTB,GAPDH,PPIA;18,20275651;0,773814125;Pass;0,015433382;0,291848122;0,773814125;Pass;12,35396451;0,773814125;Pass;0,701738938;0,61483068;0,773814125;Pass;81,97767947;999;1
S05-A80;ADNc-412;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;15,05138141;1;Pass;0,015433382;999;0;Flag;5,450740509;1;Pass;999;-1;0;Flag;81,97159296;999;1
S94-A80;ADNc-ANSES-2;Reference;1;;ABCG2;Test;ACTB,GAPDH,PPIA;18,21871835;0,851070457;Pass;0,015433382;0;0,851070457;Pass;12,59868197;0,851070457;Pass;0;1;0,851070457;Pass;81,92539588;999;1
S04-A80;ADNc-404;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;12,085549;1;Pass;0,015433382;999;0;Flag;2,793646768;1;Pass;999;-1;0;Flag;81,89741117;999;1
S93-A80;ADNc-314;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;12,15680956;1;Pass;0,015433382;999;0;Flag;4,011073265;1;Pass;999;-1;0;Flag;81,92966185;999;1
S03-A80;ADNc-396;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;13,99607591;1;Pass;0,015433382;999;0;Flag;5,895908587;1;Pass;999;-1;0;Flag;81,85050926;999;1
S92-A80;ADNc-365;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;999;0;Flag;0,015433382;999;0;Flag;999;0;Flag;999;-1;0;Flag;999;999;0
S02-A80;ADNc-388;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;12,0071514;1;Pass;0,015433382;999;0;Flag;3,424113482;1;Pass;999;-1;0;Flag;81,90111925;999;1
S91-A80;ADNc-353;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;13,6637304;1;Pass;0,015433382;999;0;Flag;8,800075004;0,876508807;Pass;999;-1;0;Flag;81,83201177;999;1
S01-A80;ADNc-380;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;12,87810393;1;Pass;0,015433382;999;0;Flag;3,655384488;1;Pass;999;-1;0;Flag;81,84295344;999;1
S90-A80;ADNc-345;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;12,69081497;1;Pass;0,015433382;999;0;Flag;7,92545726;0,84645651;Pass;999;-1;0;Flag;81,87387642;999;1
S12-A80;ADNc-ANSES-11;Unknown;1;ADNc-ANSES-1;ABCG2;Test;ACTB,GAPDH,PPIA;17,76003742;0,882671973;Pass;0,015433382;-0,150870968;0,882671973;Pass;11,38289741;0,875902858;Pass;-0,26932817;1,205246442;0,875902858;Pass;81,67532231;999;1
S89-A80;ADNc-419;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;17,6696415;1;Pass;0,015433382;999;0;Flag;7,693368981;1;Pass;999;-1;0;Flag;81,83860136;999;1
S11-A80;ADNc-ANSES-3;Reference;1;;ABCG2;Test;ACTB,GAPDH,PPIA;17,31509148;0,886343932;Pass;0,015433382;0;0,886343932;Pass;11,64695656;0,855191018;Pass;0;1;0,855191018;Pass;81,62649813;999;1
S88-A80;ADNc-411;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;13,52001233;1;Pass;0,015433382;999;0;Flag;2,661690471;1;Pass;999;-1;0;Flag;81,82348979;999;1
S10-A80;ADNc-315;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;11,82810852;1;Pass;0,015433382;999;0;Flag;2,434193979;1;Pass;999;-1;0;Flag;81,81460333;999;1
S87-A80;ADNc-403;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;10,5535679;1;Pass;0,015433382;999;0;Flag;1,716605492;1;Pass;999;-1;0;Flag;81,85879872;999;1
S09-A80;ADNc-366;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;13,6895195;1;Pass;0,015433382;999;0;Flag;9,211817371;0,789819989;Pass;999;-1;0;Flag;81,80013204;999;1
S86-A80;ADNc-395;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;14,13104151;1;Pass;0,015433382;999;0;Flag;5,427837547;1;Pass;999;-1;0;Flag;81,87562351;999;1
S08-A80;ADNc-354;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;14,3896826;1;Pass;0,015433382;999;0;Flag;6,634115834;1;Pass;999;-1;0;Flag;81,81017556;999;1
S85-A80;ADNc-387;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;12,03854288;1;Pass;0,015433382;999;0;Flag;2,542276293;1;Pass;999;-1;0;Flag;81,82475985;999;1
S07-A80;ADNc-346;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;9,657056133;1;Pass;0,015433382;999;0;Flag;4,504630078;0,937986486;Pass;999;-1;0;Flag;81,86112559;999;1
S84-A80;ADNc-ANSES-17;Unknown;1;ADNc-ANSES-3;ABCG2;Test;ACTB,GAPDH,PPIA;17,79925223;1;Pass;0,015433382;0,484160743;0,886343932;Pass;11,94165625;0,919512481;Pass;0,294699685;0,815242018;0,855191018;Pass;81,79735064;999;1
S18-A80;ADNc-339;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;10,81876894;1;Pass;0,015433382;999;0;Flag;3,266479373;1;Pass;999;-1;0;Flag;81,89428355;999;1
S83-A80;ADNc-ANSES-9;Unknown;1;ADNc-ANSES-2;ABCG2;Test;ACTB,GAPDH,PPIA;18,50417514;0,72477695;Pass;0,015433382;0,285456796;0,72477695;Pass;12,00343364;0,72477695;Pass;-0,595248335;1,51073261;0,72477695;Pass;81,72598153;999;1
S17-A80;ADNc-413;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;13,91876193;1;Pass;0,015433382;999;0;Flag;6,509945569;1;Pass;999;-1;0;Flag;81,86730331;999;1
S82-A80;ADNc-ANSES-1;Reference;1;;ABCG2;Test;ACTB,GAPDH,PPIA;17,91090839;1;Pass;0,015433382;0;1;Pass;11,65222558;1;Pass;0;1;1;Pass;81,88295466;999;1
